dialogue,summary
"#Person1#: What is your biggest dream
#Person1#: I mean the kind that can be achieved
#Person2#: Everyone say I have nice voice
#Person2#: My mom liked very much when I was reading outloud
#Person2#: I've had this dream for some time now, to become a voice actor
#Person2#: Be a part of cartoon or video game as a voice actor reading a character
#Person1#: Wow. Nice one.
#Person1#: Btw you do have a nice voice
#Person1#: I could listen to you as a radio speaker.
#Person2#: Thanks
#Person2#: I've worked in radio, but it was during college so I had little time for this
#Person1#: Shame.
#Person2#: I know. But nothing is lost. I still have microphone at home and with a bit of help I could make homemade radio station
#Person1#: That's actually a great idea
#Person1#: I cheer for you!",#Person2# has a dream of becoming a voice actor. He considers making a home radio station.
"#Person1#: I literally cannot think any more today!
#Person2#: Yeah, I'm in the same shape. What a long day!
#Person1#: Lunch went by in a flash because I had errands, which makes the day so slow!
#Person2#: I didn't get lunch, so that's even worse!
#Person1#: Oh, poor you! Aren't you starving?
#Person2#: I'll live. Only three more hours!
#Person1#: LOL! Not that you're counting...
#Person2#: Damn straight I'm counting! LOL!
#Person1#: Well, I'm def going for drinks after work. Want to join?
#Person2#: Who else is there?
#Person1#: Nobody yet but I was going to put the word out.
#Person2#: Sure, sounds fun. I'll invite some people up here if that's okay?
#Person1#: Oh, got your eye on anyone?
#Person2#: Fred!
#Person1#: Fred? Really?
#Person2#: Sure, why not? He's single, my age and not bad looking.
#Person1#: He's a dork!
#Person2#: But a cute one!
#Person1#: If you say so. Not my type!
#Person2#: That's a relief!
#Person1#: He's all yours!
#Person2#: Good. So I'll invite him and a bunch of others. See you at Nick's?
#Person1#: Perfect. About 5:30.
#Person2#: Great!
#Person1#: Can't wait! So ready for a beer!
#Person2#: GnT for me!","#Person1# and #Person2# are meeting for drinks after work at Nick's at 5:30. #Person2# fancies Fred, she will invite him and a bunch of other coworkers."
"#Person1#: need to see u
#Person2#: y
#Person2#: i'm out from 12
#Person1#: will be before
#Person1#: then
#Person2#: k
#Person1#: open the door:
#Person2#: what time u coming I need to go out
#Person1#: soon
#Person2#: hurry up I need to go out",#Person1# needs to see #Person2# who'll be out from 12.
"#Person1#: Hi man
#Person2#: Yo
#Person1#: How's it going with Gosia?
#Person2#: I don't know, she's a little strange
#Person1#: Why?
#Person2#: She always criticizes me because I like football and video games
#Person1#: Damn
#Person2#: Yeah...
#Person1#: Ok, I don't like games either, but...
#Person2#: You boring guy
#Person1#: Lol
#Person2#: Anyway I like her a lot
#Person1#: I can understand that, she's hot, if you ever dump her make sure you tell me
#Person2#: Get your hands off her, man
#Person1#: Just kidding
#Person2#: Lollolol",#Person2# is not sure about his relationship with Gosia but likes her a lot.
"#Person1#: Mom is calling for supper
#Person2#: Ok Im coming
#Person1#: [OK]",#Person1# and #Person2# are going for supper.
"#Person1#: We're preparing ravioli
#Person2#: how nice! nobody makes them better than your family
#Person1#: I got the recipe from my grandmother
#Person3#: it's a real treasure",#Person1# is preparing ravioli following her grandmothers recipe.
"#Person1#: Hello Lawrence are you through with the article?
#Person2#: Not yet sir.
#Person2#: But i will be in a few.
#Person1#: Okay. But make it quick.
#Person1#: The piece is needed by today
#Person2#: Sure thing
#Person2#: I will get back to you once i am through.",#Person2# will finish writing the article soon.
"#Person1#: can i borrow your bike again please?
#Person2#: when?
#Person1#: on thursday, i need to go to the dentist quickly after work
#Person2#: sure, let me know when you want to pick it up
#Person1#: wednesday evening will be good?
#Person2#: sure, come over and please remember to lock it properly!!",#Person1# will borrow #Person2#'s bike on Wednesday evening. She has a dentist appointment on Thursday after work.
"#Person1#: Hey Carter, are you still developing that restaurant business?
#Person2#: Hi Olivia
#Person2#: Yes, we want to launch next month[HAPPY]
#Person1#: Next month? That's soon! Congrats[HAPPY]
#Person2#: thanks, I'm a bit nervous but I seriously believe we're delivering something innovative and needed
#Person1#: I think it's a great concept and I am sure you'll do great!
#Person1#: I am currently involved with a new restaurant in the city centre
#Person2#: Which one?
#Person1#: Spicy and chilled
#Person2#: I heard about it[HAPPY] Is it any good?[WINK]
#Person1#: I love the restaurant and really like working there
#Person2#: good for you!
#Person1#: and here's the question - are you still looking for restaurant to include in your discount app?
#Person2#: sure, but I think it would be better to discuss it in person - would you like to meet up?
#Person1#: That would be great!",#Person2# is launching a restaurant business next month. #Person1# wants him to include a restaurant she's working for in the discount app. They will meet in person to discuss it.
"#Person1#: Hey, I just got the news - how's Kenny?
#Person2#: Not good. He's back from surgery, but the doctors don't know if he'll pull through.
#Person1#: He's gonna be okay - he has you to get back to[HAPPY]
#Person2#: He's got another surgery scheduled tomorrow, but they might have to reschedule it depending on his condition.
#Person1#: And how are you?
#Person2#: Honestly? I'm terrified. I'm scared I'm gonna lose him.
#Person1#: Do you want me to come to the hospital?
#Person2#: No, you shouldn't worry about me, I'll be fine. You probably have a lot work to do.
#Person1#: Kenny's my best friend. He'ld want me to look after you.
#Person1#: Kris? You there??
#Person2#: Yeah, I'm here
#Person1#: What hospital are you at?
#Person2#: We're at St Marks Hospital near Asda.
#Person2#: Thanks Guy - Kenny's lucky to have you
#Person1#: I'm on my way.
#Person1#: Kenny's lucky to have you too - I'll be there soon.","Kenny had a surgery, as #Person2# reports. He will have another surgery tomorrow. #Person1# will come to St. Mark's Hospital near Asda to stay with #Person2#."
"#Person1#: Joey and Olivia broke up:o
#Person2#: really??
#Person2#: after all these years?
#Person1#: i was surprised too
#Person1#: apparently he cheated on her with numerous girls
#Person1#: and he got some chick pregnant
#Person2#: Joey?? this is so unlike him!
#Person1#: i know!
#Person1#: it’s so sad, they knew each other for years, they were childhood sweethearts...
#Person1#: it’s just heartbreaking
#Person1#: Olivia is completely devastated, she’s crying her eyes out
#Person2#: did you talk to her?
#Person1#: yeah, I met her 2 days ago, she was just a wreck
#Person1#: Adam must be heartless
#Person2#: poor Olivia[SAD]
#Person2#: well, we know just one side of the story
#Person2#: maybe he had some good reasons to dump her
#Person1#: maybe...
#Person1#: i just sympathize with her, i know how it feels to be played like this",#Person1# and #Person2# are surprised that Joey and Olivia broke up.
"#Person1#: guess what!
#Person2#: hey[WINK] ur pregnant!
#Person1#: noo[WINK] but close enough! I'm so proud of myself! Remember I go to these dancing classes with Michael?
#Person2#: Yeah?
#Person1#: So we went yesterday and the instructor needed a partner to show the steps we had so far
#Person2#: so there's only one guy teaching you? without a female partner?
#Person1#: Well, this time he was alone, BUT THAT'S NOT THE POINT! Listen!
#Person2#: yeah, sorry[LAUGH] tell me!
#Person1#: So he needed a partner and noone really knew the steps like perfectly
#Person1#: and obviously noone wanted to be mocked
#Person1#: so I thought, aaaah fuck it[LAUGH]
#Person2#: u volunteered? really? you??
#Person1#: yeah!
#Person2#: whooa! that's so great! #therapy #worthit[LAUGH]
#Person1#: yeah i know[LAUGH] maybe one day i'll actually stop being so shy
#Person2#: that's definitely the first step![LAUGH] congrats!
#Person1#: tx ^_^
#Person2#: what dance was it?
#Person1#: English waltz
#Person2#: isn't it, like, SO difficult?
#Person1#: yeah it is! but everyone said I looked like a pro[LAUGH]
#Person2#: Well done!!",#Person1# goes to dancing classes with Michael. She volunteered to show the English Waltz steps with the instructor yesterday. #Person1# is shy and goes to therapy.
"#Person1#: I have a question!!(ﾟдﾟ)
#Person2#: Yes?
#Person1#: Why haven’t you introduced me even once your bf to me?
#Person1#: All of my friends’ daughters bring their bfs and introduced them.
#Person1#: You know I’m such a cool mum. I won’t make him stressful.
#Person1#: Just bring him.
#Person2#: Because mum...
#Person2#: I haven’t had any! (ΘεΘ[WINK](ΘεΘ[WINK]",#Person1# wants to meet #Person2#'s boyfriend but she has never had any.
"#Person1#: Hi, when are you leaving?
#Person2#: on Friday.
#Person1#: Soon!
#Person2#: soonish
#Person1#: Where are you going? decided?
#Person2#: I was thinking about the Italian Alpes
#Person1#: where exactly?
#Person2#: close to Torino I guess
#Person1#: Do you have a free seat in the car?
#Person2#: I think we still do
#Person1#: So maybe I would join you, just for the weekend.
#Person2#: That would be very nice!
#Person1#: And I would come back by train on Monday.
#Person2#: Is it worth it, the journey?
#Person1#: I haven't beed skiing for years, I really miss it
#Person2#: ok, but we want to depart before 7am, will you manage?
#Person1#: if you could pick my up, or at least come to my neighbourhood...
#Person2#: That's not a problem!
#Person1#: Great!
#Person2#: I'll write you later about all the details.",#Person2#'s going to stay near Torino in the region of Italian Alpes. #Person1# wants to join the trip. #Person2# agrees and will pick #Person1# up on Friday at 7 am.
"#Person1#: Is Brandon in?
#Person2#: Not yet.
#Person1#: Has he called to say he'd be late?
#Person2#: No, he hasn't.
#Person1#: It's not the first time, ist it?
#Person2#: No, it isn't.
#Person1#: When he arrives, tell him to come to me.
#Person2#: Of course.
#Person1#: Please prepare a report on the absenteeism and lateness. I expect it by Friday on my desk.
#Person2#: It will be ready.",Brandon is late again. #Person2# will prepare a report on the absenteeism and lateness for #Person1# by Friday.
"#Person1#: I had to call in sick.
#Person2#: Are you ok?
#Person1#: Well, it’s just a cold but I feel awful!
#Person2#: How did that happen? You don’t usually get bad colds.. Are you sure it’s not a flu?
#Person1#: Pretty certain. I can never guess the weather right you know?!
#Person2#: I see. That’s true it’s either warm or freezing cold.
#Person1#: If I wear warm clothes, it’s hot. If I don’t, there’s a cold wind!
#Person2#: Sorry to hear that. Is there anything I can help you with?
#Person1#: Can you grab some stuff from the pharmacy for me on your way back?
#Person2#: Of course I can! Just send me a list and I’ll drop by after work.
#Person1#: Thanks son!
#Person2#: No worries dad!",#Person1# has a cold. #Person2# will buy him some medication.
"#Person1#: doing anything special?
#Person2#: watching 'Millionaires' on tvn
#Person3#: me too! He has a chance to win a million!
#Person1#: ok, fingers crossed then![HAPPY]",#Person2# and #Person3# are watching Millionaires.
"#Person1#: Are you ready?
#Person2#: no, I'm waiting for a client
#Person2#: he's late:/
#Person1#: OK let me know pls
#Person2#: maybe you prefer to meet at the restaurant
#Person1#: How long will it take?
#Person2#: no idea... he's already 40 min late
#Person2#: I hate this!:/
#Person1#: OK let me know in 15 minutes and we will see
#Person1#: I don't want to be late, Dee is waiting
#Person2#: ok he's here, you can leave now
#Person2#: be ready in 5 min","#Person2# is waiting for a client, who is late. She will meet #Person1# later."
"#Person1#: Babes you here?
#Person1#: I'm on my way..
#Person2#: Ok! I'm going downstairs now
#Person1#: See you in a few
#Person2#: Are you with the Volvo?
#Person1#: Yes[WINK]",#Person1# is with the Volvo on his way and will be there soon. #Person2# is going downstairs to meet him.
"#Person1#: What's for din din?
#Person2#: Dunno yet. Salmon of some kind!
#Person1#: Asian, I bet!
#Person2#: Probably. That's my go to. Boring?
#Person1#: Slightly.
#Person2#: I do have some squash.
#Person1#: Yes?
#Person2#: Well, I could just pan fry the salmon and do the squash stuffed?
#Person1#: Sounds yum. Can't wait!
#Person2#: Alright then, stuffed squash with salmon it is.
#Person1#: Can I pick up anything for you, I'm going to CVS?
#Person2#: Some shaving cream. I'm out!
#Person1#: Okay, will do.
#Person2#: Thanks!","#Person2# is making salmon and stuffed squash for dinner. #Person1# will buy a shaving cream at CVS at his request,"
"#Person1#: Do you use endomondo?
#Person2#: Yeah, everyday, you installed too?[HAPPY]
#Person1#: I did, I started running and wanted to track my progress
#Person2#: And?
#Person1#: It doesn't work properly I think or maybe there's something wrong with my phone.
#Person1#: I went for a jog, turned it on and I'm sure I wasn't running for more than an hour. I checked it for my results and it was off
#Person2#: Hm, weird...
#Person1#: I know, I wasn't using my phone at all, just had it with me while I was jogging
#Person2#: Did you have any notification?
#Person1#: No, the battery was almost depleted though
#Person2#: Eh, it happens in certain models, unfortunately. It works fine with mine, but my friend had a similar issue. Maybe your phone's battery or processor, I don't really know, is too weak for it
#Person1#: Maybe, but that's weird, it's just a fitness app",#Person1# has installed an app for running but it is not working properly on his phone.
"#Person1#: Ann, I'm so sorry that I haven't been at you party
#Person2#: Ivan, you couldn't come
#Person2#: that's ok, you'll come next time
#Person1#: I've bought you something for you birthday!
#Person2#: You shouldn't have...
#Person1#: when are we meeting?
#Person2#: next week?
#Person1#: ok",#Person1# and #Person2# will meet next week.
"#Person1#: have you seen what Ashley posted of her fb page?
#Person2#: nope
#Person1#: then take a look
#Person2#: you know that i have some more important stuff to do, right?
#Person1#: just check it out, really
#Person2#: whoa
#Person2#: i didn't see THAT coming
#Person2#: are people allowed to post nudes on fb?
#Person1#: this is ""art""[LAUGH]
#Person2#: they are so... gritty
#Person2#: she looks horrible
#Person1#: yup
#Person1#: these pics are gonna be a hit among her husband's students:p
#Person2#: oh god, poor Evan",Ashley posted some nude photos on her fb page.
"#Person1#: Hey, I haven't told you yet, but there is a breakthrough with my wife's papers
#Person2#: What papers
#Person1#: With the working permission - since she's foreigner, you know
#Person2#: oh, I remember, so what about that? The government supposed to send it to you, I think, they had deadline until last week or something?
#Person1#: yes, they supposed to do it. So I got the letter
#Person2#: cool, congratulations!
#Person1#: the letter says that they won't make it in time and need another month T_T
#Person2#: wtf
#Person2#: I have no words",#Person1#'s wife needs a work permit as a foreigner. Government officials missed the deadline for sending it and will need another month.
"#Person1#: Are you still at the hotel?
#Person2#: Yes, I am
#Person3#: Is there anybody still there?
#Person2#: Sure
#Person3#: but the convention is over, right?
#Person2#: it is, but there are some people hanging around at the lobby and the 3rd floor
#Person3#: is Peter still there?
#Person2#: I haven't seen him today, but come over and check for yourself
#Person3#: ok, why not? We can have lunch together
#Person2#: With pleasure!
#Person1#: I'm on the way to the hotel as well, were are you exactly?
#Person2#: 3rd floor lobby
#Person2#: I'm at the red table
#Person1#: ok!","#Person3#, #Person2# and #Person1# will have lunch together at the hotel. #Person2# is already in the 3rd floor lobby at the red table."
"#Person1#: we're at the Guggenheim right now, so it will take a bit
#Person1#: but later we want to go to the Museum of the city of NY
#Person2#: I may join you
#Person3#: me too
#Person2#: what hour do you think you'll be there?
#Person2#: about?
#Person1#: around 2-2.30
#Person4#: I will not manage to join you, sorry. I'm downtown with some friends and the weather is just horrible
#Person1#: oh, I understand it very well, don't worry
#Person1#: it's really disgusting outside
#Person3#: I've seen the museum, but I would join you afterwards for a coffee, if you don't mind
#Person1#: we will be happy to see you!
#Person2#: we'll let you know when we're done with the exhibition
#Person3#: don't miss the feminist exhibition, it's really good
#Person1#: we shall not!
#Person3#: hahah","#Person1# is at the Guggenheim Museum now, but will be in the Museum of the City of New York around 2-2:30. #Person2# may join her. #Person4# won't. #Person3# will join them for a coffee after they finish visiting the museum. #Person3# has already seen the museum."
"#Person1#: Just realized I left my sunglasses at your house
#Person2#: Yes, they are waiting for you to pick them up
#Person1#: Might come round at 10 tonight if that's alright
#Person2#: Yeah okay, see ya",#Person1# left her sunglasses at #Person2#'s house. She will come collect them at 10.
"#Person1#: hi Fred!
#Person2#: hi[HAPPY] how are you?
#Person1#: Great! you?
#Person2#: good enough.
#Person1#: Would you come to my birthday party tomorrow?
#Person2#: I would love to! I need a reset hahahaha
#Person1#: Great! You're welcome to reset yourself as much as you wish!
#Person2#: What time?
#Person1#: We're starting at 8pm
#Person2#: ok, see you tomorrow!
#Person1#: See you!",#Person1# will come to #Person2#'s birthday party tomorrow at 8pm.
"#Person1#: Did you receive the money?
#Person2#: Hi!
#Person2#: I still need to check, It usually takes around two days to arrive though
#Person2#: Was it 250?
#Person1#: Yes, let me know when you have checked[HAPPY]
#Person2#: I will, thanks",#Person2# still hasn't received the 250. She will check and let #Person1# know. Money usually takes around two days to arrive.
"#Person1#: Plans today?
#Person2#: Nothing just waiting to have lunch then maybe have a nap
#Person1#: Explain me one thing
#Person2#: What thing?
#Person1#: And how is it? Like today u went to work but they sent u back home. U will still get paid for this?
#Person2#: They didn't send me home we decided not to fly and yes I still get paid. I don't get paid hourly I get paid monthly
#Person1#: Ok",Liliana is at home and does not have specific plans for the day. Liliana and her colleagues decided not to fly today but she still got paid. Liliana's job pays a fixed rate on a monthly basis.
"#Person1#: hi baby
#Person2#: hello[HAPPY]
#Person1#: what are you doin?
#Person2#: just had a shower
#Person1#: wanna go with me for shopping?
#Person2#: hmm i need to buy some things
#Person2#: so yes[HAPPY]
#Person1#: great
#Person1#: can we meet near our school?
#Person2#: sure[HAPPY]
#Person2#: when?
#Person1#: 1 pm?
#Person2#: ok[HAPPY]",#Person1# and #Person2# are going shopping. They are planning to meet at 1 pm near their school.
"#Person1#: hi guys. Who do you think is the greatest Pole?
#Person2#: How would I know, Paulina surely has some ideas
#Person3#: Maria Curie, I guess
#Person1#: I though she was French
#Person3#: Curie was a name of her husband, her surname was Skłodowska
#Person1#: how fascinating!
#Person3#: oh yes, she was so clever and hard-working
#Person3#: I think she is not appreciated enough in my country",#Person3# thinks that #Person2# Skłodowska-Curie is the greatest Pole.
"#Person1#: I gotta push this project man, I need this
#Person2#: I know, I'm doing my best
#Person3#: I have an idea, but not through messenger, call me",#Person1# needs the project to be finished. #Person2# is trying. #Person3# has an idea.
"#Person1#: Juliaaaa[HAPPY]
#Person1#: How are u dear??
#Person2#: Hey my love! I'm good, I'm at work 🙃
#Person1#: Do you want to meet up for a drink later on?
#Person2#: Sure, I'll give you a call when I'm done[WINK]
#Person1#: [OK]",#Person2# is at work. She will meet #Person1# for a drink after work. She'll call her.
"#Person1#: Hi, I'm at the supermarket now to make some shopping for todays dinner. Do you have any wishes?
#Person2#: Hm I don't know. I haven't eat spaghetti in a while
#Person1#: Oh no, I've got spaghetti yesterday by Patric and the day before too.
#Person2#: Okay maybe some fish?
#Person1#: Yeah fish is great, I'll go and search for something
#Person2#: Text me what do you find.
#Person1#: Actually there is one small fish left and I don't think we will be full from it.
#Person2#: Let's make a lasagne
#Person1#: Do you know how much work that is?
#Person2#: No i don't know
#Person1#: It's a lot...
#Person2#: Maybe I could help you?
#Person1#: That's not a bad idea
#Person1#: Did you cook something yet?
#Person2#: No, but I can learn really fast[LAUGH]
#Person1#: Okay, I'll buy the meat and sauce an let's do it
#Person2#: Should I look for a recipe in the Internet?
#Person1#: No need I did lasagne many times before
#Person2#: I can't wait ntil you teach me how to cook
#Person1#: I hope it will be eatable[LAUGH]",#Person1# is grocery shopping for dinner. She and #Person2# will make lasagne.
"#Person1#: Until further notice, the staff meeting will be held at 8:30 instead of 8:00. Please change the calendar for everyone. Thanks.
#Person2#: No problem. Why the change/
#Person1#: We had a few that never make it on time. I'm hoping this will encourage more participation.
#Person2#: Could be just the opposite!
#Person1#: We'll give it a try.
#Person2#: Sure, no problem.
#Person1#: I'll let you know if it changes again. Thanks.
#Person2#: NP",The stuff meeting is postponed from 8.00 to 8.30 to encourage more participation. #Person1# will inform #Person2# if it changes again.
"#Person1#: Waaaaaaaaa… good morning!!! [HAPPY] I’ve just heard in a radio that there are all the Game of Thrones characters around the city atm... Sophie, can we take a day off and look for them? I’ll call the manager and ask...
#Person2#: Yes, please! [LAUGH][LAUGH]
#Person3#: Enjoy [OK]😃
#Person4#: I rang... There was my other self on the other side of the phone... She said that in the morning actors sleep and they will be out tonight 😒. I hate when she is that serious 😜
#Person3#: I hate your other self, not funny enough... 😒
#Person2#: Does ‘serious’ mean ‘boring’?! 🤔🙄","The actors from ""Game of Thrones"" are in the city. #Person1# and #Person2# would like to get off work and look for them. #Person4# reminds them, that they would be easier to find in the evening than in the morning."
"#Person1#: Hi! What r u doing tomorrow?
#Person2#: Nothing special
#Person1#: How about movie?
#Person2#: What kind of?
#Person1#: something funny?
#Person2#: comedy you say.. is there anything worth watching?
#Person1#: there's this new movie with SRK
#Person2#: please, don't say it's one of your Bollywood thing
#Person1#: well, yes... but this one even you will like
#Person2#: How do you know? I realy can't stand all this singing and dancing
#Person1#: Don't you find it a little bit funny? You can realy stop thinking for a while and just enjoy[LAUGH]
#Person2#: yeah, cause watching 3h movie in a weird language is such a joy.
#Person1#: oh please, I realy want to watch it!
#Person2#: u know I don't like that stuff
#Person1#: pretty, pretty please? 4 the last time? If u tell me after that u r done with it I'll never ask again
#Person2#: 4 real?
#Person1#: Yes, I swear
#Person2#: ok, I go, 4 the last time
#Person1#: thank u tahnk u thank u:*
#Person2#: yeah, yeah. See u tomorrow","#Person1# wants to watch Bollywood movie with #Person2# tomorrow. #Person2# doesn't like this type of movie. In the end, she agrees to join #Person1#."
"#Person1#: I need to look for a new winter jacket, gotta throw the old one away.
#Person1#: was thinking of going to the shops at the weekend, what do you say?
#Person2#: yeah, Saturday afternoon maybe?
#Person1#: good. Blue City or Arkadia?
#Person2#: I somehow prefer Arkadia.
#Person1#: ok, why not. About 4,5 pm?
#Person2#: rather 5, I have a hairdresser at 3.
#Person1#: great, 5 at the main entrance then. See ya!
#Person2#: see ya!",#Person1# is going shopping with #Person2# Saturday afternoon as she needs a new winter jacket. #Person2# has a hairdresser at 3 so can meet #Person1# at 5 Arkadia at the main entrance.
